visit_id,client_id,therapist_id,service_id,visit_ts
119,574-92-3858,030-45-1969,1,"2022/01/27, 10:00:04"
120,154-64-9693,280-65-5827,0,"2022/05/08, 21:00:29"
121,431-25-4334,030-45-1969,4,"2022/05/11, 06:14:14"
122,154-64-9693,030-45-1969,1,"2022/05/18, 16:26:52"
123,431-25-4334,280-65-5827,2,"2022/05/20, 01:42:55"
124,830-11-8837,030-45-1969,4,"2022/01/21, 08:59:22"
125,431-25-4334,150-60-1665,0,"2022/06/04, 07:17:50"
126,154-64-9693,280-65-5827,3,"2022/03/28, 04:37:08"
127,148-49-3184,280-65-5827,3,"2022/02/28, 16:51:44"
128,574-92-3858,280-65-5827,2,"2022/01/18, 00:32:04"
129,431-25-4334,280-65-5827,3,"2022/06/20, 14:51:17"
130,830-11-8837,030-45-1969,3,"2022/06/08, 16:01:41"
131,488-22-2850,280-65-5827,0,"2022/05/06, 01:48:25"
132,830-11-8837,280-65-5827,0,"2022/03/07, 19:21:32"
133,898-73-3339,150-60-1665,0,"2022/04/21, 18:07:47"
134,488-22-2850,280-65-5827,4,"2022/04/17, 01:32:27"
135,574-92-3858,030-45-1969,4,"2022/02/28, 09:33:33"
136,038-37-7264,280-65-5827,1,"2022/02/11, 15:50:13"
137,594-87-8512,280-65-5827,0,"2022/01/19, 07:11:59"
138,148-49-3184,030-45-1969,0,"2022/03/14, 13:02:36"
139,898-73-3339,030-45-1969,0,"2022/03/22, 09:07:31"
140,594-87-8512,150-60-1665,4,"2022/02/17, 15:51:09"
141,038-37-7264,150-60-1665,0,"2022/03/16, 01:21:56"
142,488-22-2850,280-65-5827,0,"2022/03/14, 02:14:21"
143,154-64-9693,150-60-1665,1,"2022/03/22, 21:45:29"
144,898-73-3339,030-45-1969,4,"2022/04/14, 01:14:53"
145,431-25-4334,280-65-5827,3,"2022/02/14, 12:31:34"
146,830-11-8837,280-65-5827,2,"2022/02/24, 14:43:10"
147,154-64-9693,030-45-1969,3,"2022/06/28, 07:21:15"
148,830-11-8837,280-65-5827,3,"2022/03/04, 23:50:15"
149,830-11-8837,150-60-1665,0,"2022/05/31, 10:17:21"
150,154-64-9693,150-60-1665,3,"2022/04/03, 21:15:53"
151,431-25-4334,030-45-1969,2,"2022/06/24, 22:36:46"
152,594-87-8512,150-60-1665,1,"2022/02/10, 16:46:01"
153,488-22-2850,030-45-1969,1,"2022/06/29, 03:30:42"
154,877-33-4462,150-60-1665,3,"2022/06/05, 15:13:18"
155,488-22-2850,280-65-5827,0,"2022/01/10, 20:09:35"
156,488-22-2850,280-65-5827,1,"2022/05/28, 17:19:10"
157,574-92-3858,150-60-1665,0,"2022/01/30, 15:13:10"
158,877-33-4462,030-45-1969,4,"2022/04/26, 21:46:37"
159,488-22-2850,150-60-1665,4,"2022/04/01, 23:22:44"
160,898-73-3339,150-60-1665,2,"2022/02/26, 22:48:12"
161,038-37-7264,030-45-1969,1,"2022/06/07, 04:42:22"
162,830-11-8837,280-65-5827,3,"2022/05/20, 07:55:14"
163,154-64-9693,030-45-1969,2,"2022/01/21, 15:55:32"
164,574-92-3858,150-60-1665,0,"2022/01/07, 14:02:49"
165,488-22-2850,030-45-1969,3,"2022/04/06, 16:24:48"
166,148-49-3184,280-65-5827,0,"2022/03/09, 06:17:01"
167,898-73-3339,150-60-1665,2,"2022/06/01, 23:32:54"
168,877-33-4462,280-65-5827,1,"2022/02/28, 03:38:44"
169,488-22-2850,150-60-1665,0,"2022/05/25, 21:25:15"
170,877-33-4462,030-45-1969,1,"2022/01/02, 08:28:53"
171,154-64-9693,280-65-5827,1,"2022/05/26, 03:39:31"
172,594-87-8512,150-60-1665,0,"2022/05/21, 19:02:52"
173,574-92-3858,030-45-1969,0,"2022/04/28, 09:17:55"
174,488-22-2850,150-60-1665,1,"2022/01/16, 08:10:33"
175,488-22-2850,150-60-1665,1,"2022/01/14, 18:50:53"
176,877-33-4462,150-60-1665,0,"2022/06/05, 15:06:09"
177,877-33-4462,030-45-1969,2,"2022/04/19, 19:32:45"
178,594-87-8512,150-60-1665,4,"2022/04/06, 12:01:31"
179,431-25-4334,280-65-5827,0,"2022/02/17, 02:16:09"
180,898-73-3339,030-45-1969,0,"2022/05/15, 19:12:24"
181,148-49-3184,280-65-5827,3,"2022/06/10, 17:13:32"
182,038-37-7264,150-60-1665,1,"2022/03/17, 19:30:50"
183,594-87-8512,150-60-1665,4,"2022/05/19, 13:03:41"
184,898-73-3339,280-65-5827,1,"2022/06/08, 07:52:32"
185,594-87-8512,280-65-5827,2,"2022/06/06, 05:15:39"
186,594-87-8512,150-60-1665,2,"2022/01/06, 11:36:50"
187,154-64-9693,150-60-1665,4,"2022/02/10, 10:39:22"
188,488-22-2850,030-45-1969,3,"2022/03/25, 16:46:33"
189,574-92-3858,150-60-1665,1,"2022/04/16, 00:34:26"
190,154-64-9693,280-65-5827,4,"2022/04/28, 04:14:04"
191,830-11-8837,150-60-1665,1,"2022/05/01, 09:23:03"
192,148-49-3184,280-65-5827,3,"2022/04/10, 13:36:46"
193,877-33-4462,150-60-1665,2,"2022/01/01, 05:41:04"
194,431-25-4334,030-45-1969,1,"2022/02/17, 11:27:24"
195,594-87-8512,280-65-5827,4,"2022/05/11, 22:42:42"
196,038-37-7264,280-65-5827,1,"2022/06/04, 10:00:43"
197,830-11-8837,030-45-1969,1,"2022/05/31, 14:36:04"
198,898-73-3339,280-65-5827,0,"2022/05/12, 09:47:55"
199,431-25-4334,030-45-1969,0,"2022/01/14, 08:23:19"
200,431-25-4334,030-45-1969,0,"2022/03/22, 23:39:44"
201,488-22-2850,280-65-5827,0,"2022/04/22, 05:34:30"
202,898-73-3339,280-65-5827,2,"2022/03/25, 15:32:10"
203,594-87-8512,150-60-1665,4,"2022/05/13, 07:16:40"
204,594-87-8512,150-60-1665,4,"2022/05/11, 14:38:05"
205,574-92-3858,280-65-5827,3,"2022/03/25, 15:47:24"
206,038-37-7264,030-45-1969,2,"2022/04/01, 01:44:54"
207,594-87-8512,280-65-5827,2,"2022/02/01, 21:49:04"
208,488-22-2850,280-65-5827,3,"2022/02/23, 10:48:13"
209,431-25-4334,150-60-1665,4,"2022/02/06, 18:28:30"
210,431-25-4334,150-60-1665,2,"2022/05/29, 04:40:25"
211,154-64-9693,030-45-1969,1,"2022/05/25, 14:34:09"
212,574-92-3858,030-45-1969,4,"2022/01/26, 21:39:33"
213,431-25-4334,150-60-1665,3,"2022/05/01, 09:55:51"
214,148-49-3184,280-65-5827,0,"2022/05/02, 07:12:39"
215,898-73-3339,150-60-1665,1,"2022/01/28, 12:12:35"
216,830-11-8837,150-60-1665,4,"2022/04/05, 09:45:31"
217,594-87-8512,030-45-1969,0,"2022/06/11, 14:25:18"
218,594-87-8512,030-45-1969,3,"2022/06/10, 14:15:16"
219,431-25-4334,150-60-1665,1,"2022/05/29, 11:27:09"
220,574-92-3858,030-45-1969,1,"2022/03/13, 15:00:30"
221,154-64-9693,150-60-1665,3,"2022/03/20, 23:51:57"
222,574-92-3858,150-60-1665,3,"2022/04/19, 10:33:10"
223,830-11-8837,280-65-5827,0,"2022/01/31, 09:01:06"
224,148-49-3184,030-45-1969,4,"2022/01/09, 09:35:45"
225,877-33-4462,150-60-1665,3,"2022/03/18, 10:35:01"
226,594-87-8512,030-45-1969,2,"2022/05/16, 13:46:46"
227,594-87-8512,280-65-5827,4,"2022/05/23, 15:29:31"
228,574-92-3858,030-45-1969,3,"2022/02/14, 09:02:42"
229,594-87-8512,030-45-1969,1,"2022/05/16, 06:31:43"
230,898-73-3339,150-60-1665,1,"2022/01/01, 00:17:40"
231,431-25-4334,150-60-1665,3,"2022/05/28, 21:55:17"
232,148-49-3184,030-45-1969,1,"2022/03/02, 10:33:07"
233,431-25-4334,150-60-1665,1,"2022/02/11, 23:58:19"
234,594-87-8512,030-45-1969,4,"2022/05/17, 18:58:24"
235,830-11-8837,280-65-5827,0,"2022/02/17, 01:55:29"
236,574-92-3858,030-45-1969,1,"2022/02/26, 22:14:50"
237,830-11-8837,030-45-1969,2,"2022/03/28, 20:58:36"
238,877-33-4462,280-65-5827,1,"2022/06/04, 04:56:30"
239,594-87-8512,280-65-5827,2,"2022/03/20, 02:31:39"
240,877-33-4462,280-65-5827,4,"2022/01/22, 18:52:35"
241,148-49-3184,280-65-5827,0,"2022/01/01, 06:31:09"
242,154-64-9693,150-60-1665,4,"2022/02/14, 02:34:20"
243,898-73-3339,280-65-5827,0,"2022/05/25, 09:34:42"
244,431-25-4334,150-60-1665,3,"2022/05/28, 12:01:17"
245,488-22-2850,280-65-5827,2,"2022/04/11, 02:12:09"
246,877-33-4462,030-45-1969,2,"2022/03/15, 20:24:35"
247,431-25-4334,280-65-5827,0,"2022/01/15, 16:10:45"
248,830-11-8837,030-45-1969,0,"2022/05/26, 19:43:50"
249,154-64-9693,280-65-5827,1,"2022/03/17, 09:30:02"
250,154-64-9693,150-60-1665,2,"2022/02/01, 07:10:20"
251,154-64-9693,150-60-1665,0,"2022/04/24, 01:12:33"
252,038-37-7264,150-60-1665,2,"2022/04/29, 03:41:02"
253,594-87-8512,150-60-1665,4,"2022/05/18, 10:53:06"
254,488-22-2850,280-65-5827,1,"2022/03/13, 17:10:08"
255,431-25-4334,280-65-5827,0,"2022/05/07, 19:10:28"
256,488-22-2850,030-45-1969,0,"2022/03/07, 12:40:14"
257,574-92-3858,150-60-1665,0,"2022/03/13, 09:42:17"
258,488-22-2850,280-65-5827,0,"2022/02/03, 14:14:47"
259,574-92-3858,030-45-1969,0,"2022/03/16, 21:36:03"
260,431-25-4334,030-45-1969,3,"2022/03/27, 00:09:28"
261,898-73-3339,150-60-1665,1,"2022/04/25, 01:58:52"
262,431-25-4334,280-65-5827,4,"2022/03/04, 08:14:11"
263,830-11-8837,150-60-1665,2,"2022/06/06, 20:40:00"
264,431-25-4334,280-65-5827,1,"2022/01/08, 10:39:03"
265,488-22-2850,150-60-1665,0,"2022/01/18, 15:26:00"
266,148-49-3184,280-65-5827,2,"2022/05/29, 13:36:28"
267,830-11-8837,030-45-1969,0,"2022/02/14, 17:17:32"
268,148-49-3184,150-60-1665,2,"2022/03/23, 15:28:20"
269,877-33-4462,280-65-5827,4,"2022/04/22, 05:37:33"
270,148-49-3184,280-65-5827,4,"2022/05/05, 00:53:53"
271,898-73-3339,280-65-5827,0,"2022/05/20, 16:16:09"
272,488-22-2850,280-65-5827,3,"2022/01/13, 00:26:34"
273,038-37-7264,280-65-5827,0,"2022/04/27, 03:09:29"
274,830-11-8837,150-60-1665,0,"2022/06/25, 11:40:51"
275,038-37-7264,030-45-1969,0,"2022/02/07, 04:45:28"
276,154-64-9693,280-65-5827,3,"2022/06/01, 13:33:40"
277,898-73-3339,030-45-1969,3,"2022/04/19, 08:43:35"
278,148-49-3184,150-60-1665,3,"2022/03/02, 01:27:10"
279,877-33-4462,150-60-1665,4,"2022/04/01, 02:27:51"
280,038-37-7264,150-60-1665,2,"2022/01/12, 07:30:26"
281,830-11-8837,030-45-1969,3,"2022/05/18, 12:42:42"
282,154-64-9693,150-60-1665,3,"2022/01/31, 23:33:50"
283,830-11-8837,150-60-1665,2,"2022/03/30, 04:56:17"
284,154-64-9693,280-65-5827,2,"2022/02/01, 18:09:22"
285,431-25-4334,030-45-1969,2,"2022/01/19, 09:39:34"
286,594-87-8512,030-45-1969,2,"2022/02/06, 11:46:28"
287,148-49-3184,280-65-5827,4,"2022/05/08, 00:04:56"
288,038-37-7264,030-45-1969,0,"2022/04/26, 11:24:31"
289,488-22-2850,150-60-1665,1,"2022/04/06, 09:52:17"
290,594-87-8512,030-45-1969,1,"2022/02/18, 12:13:59"
291,830-11-8837,030-45-1969,4,"2022/01/02, 20:22:18"
292,488-22-2850,280-65-5827,2,"2022/01/08, 13:16:45"
293,148-49-3184,280-65-5827,3,"2022/02/16, 16:07:32"
294,154-64-9693,030-45-1969,2,"2022/06/02, 03:02:14"
295,431-25-4334,280-65-5827,1,"2022/05/04, 01:36:28"
296,898-73-3339,150-60-1665,0,"2022/04/06, 09:49:43"
297,038-37-7264,280-65-5827,1,"2022/04/06, 20:57:44"
298,574-92-3858,150-60-1665,0,"2022/02/06, 04:55:08"
299,830-11-8837,280-65-5827,4,"2022/06/17, 02:01:07"
300,154-64-9693,150-60-1665,1,"2022/04/06, 08:09:52"
301,148-49-3184,280-65-5827,2,"2022/02/10, 22:19:17"
302,877-33-4462,150-60-1665,0,"2022/04/09, 20:51:38"
303,830-11-8837,280-65-5827,3,"2022/05/27, 00:32:30"
304,574-92-3858,150-60-1665,4,"2022/03/20, 14:55:12"
305,488-22-2850,280-65-5827,0,"2022/05/07, 15:46:47"
306,830-11-8837,280-65-5827,4,"2022/02/05, 14:00:01"
307,830-11-8837,150-60-1665,3,"2022/01/30, 13:33:38"
308,830-11-8837,150-60-1665,3,"2022/03/26, 22:14:50"
309,898-73-3339,030-45-1969,2,"2022/04/16, 17:27:54"
310,877-33-4462,280-65-5827,2,"2022/02/12, 12:23:00"
311,148-49-3184,280-65-5827,3,"2022/04/08, 15:50:36"
312,038-37-7264,030-45-1969,3,"2022/04/15, 07:01:08"
313,594-87-8512,150-60-1665,0,"2022/02/23, 14:15:34"
314,830-11-8837,280-65-5827,3,"2022/05/11, 05:38:41"
315,431-25-4334,150-60-1665,4,"2022/02/13, 21:56:16"
316,038-37-7264,280-65-5827,2,"2022/04/17, 11:57:29"
317,148-49-3184,150-60-1665,2,"2022/06/14, 02:10:06"
318,898-73-3339,280-65-5827,4,"2022/03/06, 21:33:18"
319,877-33-4462,280-65-5827,0,"2022/02/22, 04:33:49"
320,038-37-7264,280-65-5827,2,"2022/04/21, 09:48:59"
321,830-11-8837,150-60-1665,2,"2022/06/26, 11:39:42"
322,594-87-8512,150-60-1665,2,"2022/06/11, 07:20:29"
323,877-33-4462,150-60-1665,1,"2022/06/04, 00:10:20"
324,898-73-3339,280-65-5827,3,"2022/06/19, 17:06:55"
325,431-25-4334,030-45-1969,0,"2022/02/28, 06:41:58"
326,594-87-8512,030-45-1969,1,"2022/06/05, 00:30:55"
327,830-11-8837,150-60-1665,0,"2022/05/11, 06:38:39"
328,877-33-4462,030-45-1969,1,"2022/02/15, 20:18:03"
329,148-49-3184,280-65-5827,0,"2022/02/27, 19:28:44"
330,574-92-3858,280-65-5827,1,"2022/05/09, 13:11:38"
331,898-73-3339,150-60-1665,3,"2022/06/18, 22:21:07"
332,154-64-9693,030-45-1969,0,"2022/03/10, 03:54:25"
333,830-11-8837,030-45-1969,3,"2022/01/31, 20:10:11"
334,431-25-4334,030-45-1969,3,"2022/05/08, 14:32:03"
335,594-87-8512,280-65-5827,1,"2022/05/02, 19:36:29"
336,877-33-4462,030-45-1969,2,"2022/04/12, 12:57:15"
337,898-73-3339,150-60-1665,1,"2022/03/02, 10:23:02"
338,877-33-4462,150-60-1665,3,"2022/04/01, 23:56:47"
339,148-49-3184,150-60-1665,0,"2022/03/10, 15:44:12"
340,898-73-3339,280-65-5827,4,"2022/05/23, 19:02:49"
341,431-25-4334,150-60-1665,1,"2022/05/18, 15:27:03"
342,898-73-3339,030-45-1969,0,"2022/06/05, 09:36:30"
343,154-64-9693,150-60-1665,4,"2022/06/27, 16:59:58"
344,594-87-8512,280-65-5827,4,"2022/05/22, 16:59:48"
345,574-92-3858,280-65-5827,2,"2022/01/20, 21:52:46"
346,038-37-7264,030-45-1969,4,"2022/05/02, 12:50:23"
347,431-25-4334,150-60-1665,4,"2022/04/18, 20:47:15"
348,488-22-2850,030-45-1969,1,"2022/05/01, 02:29:57"
349,154-64-9693,030-45-1969,0,"2022/04/29, 17:53:49"
350,154-64-9693,030-45-1969,1,"2022/03/22, 20:19:52"
351,898-73-3339,150-60-1665,1,"2022/02/24, 06:49:27"
352,830-11-8837,150-60-1665,3,"2022/05/08, 18:55:51"
353,574-92-3858,030-45-1969,2,"2022/03/24, 14:44:55"
354,488-22-2850,280-65-5827,4,"2022/04/09, 07:11:04"
355,877-33-4462,150-60-1665,2,"2022/06/05, 05:03:14"
356,574-92-3858,150-60-1665,4,"2022/03/10, 23:41:19"
357,488-22-2850,150-60-1665,2,"2022/04/03, 03:26:20"
358,574-92-3858,280-65-5827,3,"2022/02/24, 03:28:10"
359,038-37-7264,150-60-1665,0,"2022/06/13, 21:02:51"
360,898-73-3339,150-60-1665,0,"2022/03/07, 23:38:25"
361,898-73-3339,280-65-5827,4,"2022/05/02, 03:06:19"
362,594-87-8512,150-60-1665,3,"2022/01/17, 11:01:11"
363,431-25-4334,280-65-5827,3,"2022/04/13, 05:19:43"
364,594-87-8512,030-45-1969,2,"2022/01/18, 01:19:10"
365,431-25-4334,150-60-1665,1,"2022/04/14, 20:16:47"
366,038-37-7264,280-65-5827,3,"2022/06/10, 22:58:42"
367,148-49-3184,280-65-5827,1,"2022/04/01, 18:36:50"
368,431-25-4334,030-45-1969,2,"2022/05/11, 07:11:52"
369,154-64-9693,030-45-1969,1,"2022/06/08, 20:38:09"
370,898-73-3339,030-45-1969,1,"2022/01/14, 22:01:16"
371,898-73-3339,280-65-5827,1,"2022/04/09, 04:18:45"
372,431-25-4334,150-60-1665,3,"2022/04/02, 23:08:34"
373,154-64-9693,030-45-1969,3,"2022/05/23, 01:21:42"
374,877-33-4462,030-45-1969,1,"2022/03/06, 03:32:42"
375,574-92-3858,030-45-1969,3,"2022/02/12, 09:13:05"
376,830-11-8837,030-45-1969,1,"2022/04/24, 06:58:00"
377,830-11-8837,280-65-5827,1,"2022/02/01, 08:41:49"
378,594-87-8512,150-60-1665,2,"2022/01/01, 05:11:28"
379,154-64-9693,150-60-1665,0,"2022/01/06, 19:19:12"
380,594-87-8512,030-45-1969,0,"2022/05/12, 01:58:43"
381,038-37-7264,150-60-1665,0,"2022/04/21, 21:47:06"
382,038-37-7264,150-60-1665,1,"2022/06/22, 08:08:23"
383,488-22-2850,280-65-5827,4,"2022/02/28, 05:36:07"
384,038-37-7264,030-45-1969,1,"2022/05/14, 21:42:10"
385,830-11-8837,150-60-1665,2,"2022/05/03, 20:40:25"
386,038-37-7264,150-60-1665,3,"2022/05/15, 02:07:19"
387,830-11-8837,030-45-1969,4,"2022/04/28, 10:39:20"
388,574-92-3858,280-65-5827,1,"2022/04/04, 03:31:19"
389,038-37-7264,280-65-5827,1,"2022/04/10, 21:15:06"
390,877-33-4462,150-60-1665,3,"2022/05/03, 10:25:48"
391,877-33-4462,030-45-1969,2,"2022/05/27, 08:48:57"
392,148-49-3184,280-65-5827,1,"2022/05/18, 15:21:01"
393,431-25-4334,280-65-5827,3,"2022/03/21, 23:30:26"
394,431-25-4334,030-45-1969,2,"2022/06/02, 12:51:33"
395,488-22-2850,030-45-1969,2,"2022/04/10, 08:38:47"
396,154-64-9693,150-60-1665,2,"2022/06/19, 22:02:19"
397,898-73-3339,150-60-1665,4,"2022/02/12, 03:27:32"
398,594-87-8512,030-45-1969,3,"2022/04/01, 09:05:38"
399,148-49-3184,150-60-1665,0,"2022/06/05, 19:41:39"
400,898-73-3339,150-60-1665,4,"2022/05/19, 14:22:55"
401,154-64-9693,280-65-5827,4,"2022/06/16, 03:02:43"
402,154-64-9693,280-65-5827,1,"2022/03/15, 23:52:54"
403,830-11-8837,030-45-1969,3,"2022/03/27, 15:57:07"
404,148-49-3184,150-60-1665,2,"2022/02/12, 02:12:17"
405,574-92-3858,280-65-5827,0,"2022/04/19, 14:55:45"
406,898-73-3339,030-45-1969,3,"2022/05/22, 04:25:13"
407,877-33-4462,150-60-1665,0,"2022/03/04, 09:16:20"
408,148-49-3184,030-45-1969,1,"2022/05/14, 23:52:28"
409,877-33-4462,150-60-1665,0,"2022/05/14, 09:05:59"
